DateG,DateH,fajr1,fajr2,sunrise,dhuhr1,dhuhr2,asr1,asr2,maghreb1,maghreb2,isha1,isha2
"March 18, 2025","Ramadan 18, 1446",5:50 AM,6:05 AM,7:19 AM,1:20 PM,1:45 PM,4:37 PM,5:00 PM,7:21 PM,7:26 PM,8:49 PM,8:55 PM
"March 19, 2025","Ramadan 19, 1446",5:48 AM,6:03 AM,7:17 AM,1:19 PM,1:45 PM,4:38 PM,5:00 PM,7:22 PM,7:27 PM,8:51 PM,8:55 PM
"March 20, 2025","Ramadan 20, 1446",5:46 AM,6:01 AM,7:15 AM,1:19 PM,1:45 PM,4:39 PM,5:00 PM,7:24 PM,7:29 PM,8:52 PM,8:55 PM
"March 21, 2025","Ramadan 21, 1446",5:43 AM,5:58 AM,7:12 AM,1:19 PM,1:45 PM,4:40 PM,5:30 PM,7:25 PM,7:30 PM,8:54 PM,9:10 PM
"March 22, 2025","Ramadan 22, 1446",5:41 AM,5:56 AM,7:10 AM,1:19 PM,1:45 PM,4:41 PM,5:30 PM,7:27 PM,7:32 PM,8:56 PM,9:10 PM
"March 23, 2025","Ramadan 23, 1446",5:39 AM,5:54 AM,7:08 AM,1:18 PM,1:45 PM,4:41 PM,5:30 PM,7:28 PM,7:33 PM,8:58 PM,9:10 PM
"March 24, 2025","Ramadan 24, 1446",5:37 AM,5:52 AM,7:06 AM,1:18 PM,1:45 PM,4:42 PM,5:30 PM,7:30 PM,7:35 PM,8:59 PM,9:10 PM
"March 25, 2025","Ramadan 25, 1446",5:34 AM,5:49 AM,7:04 AM,1:18 PM,1:45 PM,4:43 PM,5:30 PM,7:31 PM,7:36 PM,9:01 PM,9:10 PM
"March 26, 2025","Ramadan 26, 1446",5:32 AM,5:47 AM,7:02 AM,1:17 PM,1:45 PM,4:44 PM,5:30 PM,7:33 PM,7:38 PM,9:03 PM,9:10 PM
"March 27, 2025","Ramadan 27, 1446",5:29 AM,5:44 AM,7:00 AM,1:17 PM,1:45 PM,4:45 PM,5:30 PM,7:34 PM,7:39 PM,9:05 PM,9:10 PM
"March 28, 2025","Ramadan 28, 1446",5:27 AM,5:42 AM,6:57 AM,1:17 PM,1:45 PM,4:46 PM,5:30 PM,7:36 PM,7:41 PM,9:06 PM,9:20 PM
"March 29, 2025","Ramadan 29, 1446",5:25 AM,5:40 AM,6:55 AM,1:16 PM,1:45 PM,4:47 PM,5:30 PM,7:37 PM,7:42 PM,9:08 PM,9:20 PM
"March 30, 2025","Shawwal 1, 1446",5:22 AM,5:37 AM,6:53 AM,1:16 PM,1:45 PM,4:47 PM,5:30 PM,7:39 PM,7:44 PM,9:10 PM,9:20 PM
"March 31, 2025","Shawwal 2, 1446",5:20 AM,5:35 AM,6:51 AM,1:16 PM,1:45 PM,4:48 PM,5:30 PM,7:41 PM,7:46 PM,9:12 PM,9:20 PM
"April 1, 2025","Shawwal 3, 1446",5:17 AM,5:35 AM,6:49 AM,1:16 PM,1:45 PM,4:49 PM,5:30 PM,7:42 PM,7:47 PM,9:14 PM,9:20 PM
"April 2, 2025","Shawwal 4, 1446",5:15 AM,5:35 AM,6:47 AM,1:15 PM,1:45 PM,4:50 PM,5:30 PM,7:44 PM,7:49 PM,9:15 PM,9:20 PM
"April 3, 2025","Shawwal 5, 1446",5:13 AM,5:35 AM,6:45 AM,1:15 PM,1:45 PM,4:51 PM,5:30 PM,7:45 PM,7:50 PM,9:17 PM,9:20 PM
"April 4, 2025","Shawwal 6, 1446",5:10 AM,5:35 AM,6:43 AM,1:15 PM,1:45 PM,4:51 PM,5:30 PM,7:47 PM,7:52 PM,9:19 PM,9:35 PM
"April 5, 2025","Shawwal 7, 1446",5:08 AM,5:35 AM,6:41 AM,1:14 PM,1:45 PM,4:52 PM,5:30 PM,7:48 PM,7:53 PM,9:21 PM,9:35 PM
"April 6, 2025","Shawwal 8, 1446",5:05 AM,5:35 AM,6:38 AM,1:14 PM,1:45 PM,4:53 PM,5:30 PM,7:50 PM,7:55 PM,9:23 PM,9:35 PM
"April 7, 2025","Shawwal 9, 1446",5:03 AM,5:35 AM,6:36 AM,1:14 PM,1:45 PM,4:54 PM,5:30 PM,7:51 PM,7:56 PM,9:25 PM,9:35 PM
"April 8, 2025","Shawwal 10, 1446",5:00 AM,5:35 AM,6:34 AM,1:14 PM,1:45 PM,4:54 PM,5:30 PM,7:53 PM,7:58 PM,9:27 PM,9:35 PM
"April 9, 2025","Shawwal 11, 1446",4:58 AM,5:35 AM,6:32 AM,1:13 PM,1:45 PM,4:55 PM,5:30 PM,7:54 PM,7:59 PM,9:29 PM,9:35 PM
"April 10, 2025","Shawwal 12, 1446",4:55 AM,5:35 AM,6:30 AM,1:13 PM,1:45 PM,4:56 PM,5:30 PM,7:56 PM,8:01 PM,9:31 PM,9:35 PM
"April 11, 2025","Shawwal 13, 1446",4:53 AM,5:15 AM,6:28 AM,1:13 PM,1:45 PM,4:56 PM,5:30 PM,7:57 PM,8:02 PM,9:33 PM,9:45 PM
"April 12, 2025","Shawwal 14, 1446",4:50 AM,5:15 AM,6:26 AM,1:12 PM,1:45 PM,4:57 PM,5:30 PM,7:59 PM,8:04 PM,9:35 PM,9:45 PM
"April 13, 2025","Shawwal 15, 1446",4:48 AM,5:15 AM,6:24 AM,1:12 PM,1:45 PM,4:58 PM,5:30 PM,8:00 PM,8:05 PM,9:37 PM,9:45 PM
"April 14, 2025","Shawwal 16, 1446",4:45 AM,5:15 AM,6:22 AM,1:12 PM,1:45 PM,4:59 PM,5:30 PM,8:02 PM,8:07 PM,9:39 PM,9:45 PM
"April 15, 2025","Shawwal 17, 1446",4:43 AM,5:15 AM,6:20 AM,1:12 PM,1:45 PM,4:59 PM,5:30 PM,8:03 PM,8:08 PM,9:41 PM,9:45 PM
"April 16, 2025","Shawwal 18, 1446",4:40 AM,5:15 AM,6:18 AM,1:11 PM,1:45 PM,5:00 PM,5:30 PM,8:05 PM,8:10 PM,9:43 PM,9:45 PM
"April 17, 2025","Shawwal 19, 1446",4:38 AM,5:15 AM,6:16 AM,1:11 PM,1:45 PM,5:01 PM,5:30 PM,8:06 PM,8:11 PM,9:45 PM,9:45 PM
"April 18, 2025","Shawwal 20, 1446",4:35 AM,5:00 AM,6:14 AM,1:11 PM,1:45 PM,5:01 PM,5:30 PM,8:08 PM,8:13 PM,9:47 PM,10:00 PM
"April 19, 2025","Shawwal 21, 1446",4:33 AM,5:00 AM,6:12 AM,1:11 PM,1:45 PM,5:02 PM,5:30 PM,8:09 PM,8:14 PM,9:49 PM,10:00 PM
"April 20, 2025","Shawwal 22, 1446",4:30 AM,5:00 AM,6:10 AM,1:11 PM,1:45 PM,5:02 PM,5:30 PM,8:11 PM,8:16 PM,9:51 PM,10:00 PM
"April 21, 2025","Shawwal 23, 1446",4:28 AM,5:00 AM,6:08 AM,1:10 PM,1:45 PM,5:03 PM,5:30 PM,8:12 PM,8:17 PM,9:53 PM,10:00 PM
"April 22, 2025","Shawwal 24, 1446",4:25 AM,5:00 AM,6:06 AM,1:10 PM,1:45 PM,5:04 PM,5:30 PM,8:14 PM,8:19 PM,9:55 PM,10:00 PM
"April 23, 2025","Shawwal 25, 1446",4:23 AM,5:00 AM,6:04 AM,1:10 PM,1:45 PM,5:04 PM,5:30 PM,8:15 PM,8:20 PM,9:57 PM,10:00 PM
"April 24, 2025","Shawwal 26, 1446",4:20 AM,5:00 AM,6:03 AM,1:10 PM,1:45 PM,5:05 PM,5:30 PM,8:17 PM,8:22 PM,9:59 PM,10:00 PM
"April 25, 2025","Shawwal 27, 1446",4:18 AM,5:00 AM,6:01 AM,1:10 PM,1:45 PM,5:06 PM,6:00 PM,8:18 PM,8:23 PM,10:02 PM,10:15 PM
"April 26, 2025","Shawwal 28, 1446",4:15 AM,5:00 AM,5:59 AM,1:09 PM,1:45 PM,5:06 PM,6:00 PM,8:20 PM,8:25 PM,10:04 PM,10:15 PM
"April 27, 2025","Shawwal 29, 1446",4:12 AM,5:00 AM,5:57 AM,1:09 PM,1:45 PM,5:07 PM,6:00 PM,8:22 PM,8:27 PM,10:06 PM,10:15 PM
"April 28, 2025","Shawwal 30, 1446",4:10 AM,5:00 AM,5:55 AM,1:09 PM,1:45 PM,5:07 PM,6:00 PM,8:23 PM,8:28 PM,10:08 PM,10:15 PM
"April 29, 2025","Dhul Qadah 1, 1446",4:07 AM,5:00 AM,5:53 AM,1:09 PM,1:45 PM,5:08 PM,6:00 PM,8:25 PM,8:30 PM,10:10 PM,10:15 PM
"April 30, 2025","Dhul Qadah 2, 1446",4:05 AM,5:00 AM,5:52 AM,1:09 PM,1:45 PM,5:09 PM,6:00 PM,8:26 PM,8:31 PM,10:13 PM,10:15 PM
